Metric: | MAE	| NMAE	| RMSE	| MRE	| NPRE	| NDCG1	| NDCG5	| NDCG10	| NDCG20	| NDCG50	| NDCG100	
Avg:	0.5652	0.6245	1.5455	0.4434	2.3989	0.6172	0.6207	0.6377	0.6654	0.7031	0.7019
Std:	0.0031	0.0033	0.0088	0.0038	0.0380	0.0121	0.0073	0.0068	0.0061	0.0056	0.0037

==========================================
Detailed results for 10 rounds:
0.5647	0.6242	1.5440	0.4446	2.3966	0.6073	0.6167	0.6342	0.6595	0.6989	0.7038
0.5629	0.6229	1.5344	0.4431	2.3993	0.6040	0.6154	0.6325	0.6636	0.7057	0.7029
0.5628	0.6221	1.5324	0.4404	2.4391	0.6239	0.6179	0.6351	0.6699	0.7065	0.7048
0.5692	0.6295	1.5578	0.4448	2.4150	0.6157	0.6189	0.6343	0.6603	0.6925	0.6922
0.5631	0.6216	1.5433	0.4402	2.3428	0.6147	0.6078	0.6269	0.6557	0.6990	0.7022
0.5623	0.6208	1.5418	0.4402	2.3752	0.6251	0.6265	0.6415	0.6691	0.7077	0.7059
0.5705	0.6296	1.5593	0.4505	2.4053	0.6041	0.6240	0.6449	0.6721	0.7045	0.6995
0.5641	0.6235	1.5397	0.4416	2.3750	0.6327	0.6309	0.6456	0.6714	0.7130	0.7050
0.5629	0.6219	1.5483	0.4389	2.3597	0.6046	0.6164	0.6327	0.6591	0.6981	0.7006
0.5696	0.6289	1.5537	0.4497	2.4807	0.6400	0.6325	0.6492	0.6734	0.7052	0.7023
